date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:48:54	70/70	---M-Z	200	added ('OK')	text/plain	date:Wed,%2011%20Aug%202021%2015:48:54%20GMT	https://kiculagbe.com/robots.txt		(from )
21:49:03	259607/259607	---MCZ	200	added ('OK')	text/html	date:Wed,%2011%20Aug%202021%2015:49:01%20GMT	https://kiculagbe.com/	C:/My%20Web%20Sites/kichukinbo/kiculagbe.com/index.html	(from )
21:49:04	353/353	---M-Z	200	added ('OK')	text/css	etag:W/%225e74c11d-161%22	https://fonts.maateen.me/solaiman-lipi/font.css	C:/My%20Web%20Sites/kichukinbo/fonts.maateen.me/solaiman-lipi/font.css	(from https://kiculagbe.com/)
21:49:05	10865/10865	---MCZ	200	added ('OK')	text/javascript	date:Wed,%2011%20Aug%202021%2015:49:04%20GMT	https://kit.fontawesome.com/42c6b32a67.js	C:/My%20Web%20Sites/kichukinbo/kit.fontawesome.com/42c6b32a67.js	(from https://kiculagbe.com/)
21:49:06	80574/80574	---M-Z	200	added ('OK')	text/css	date:Tue,%2020%20Jul%202021%2023:06:48%20GMT	https://kiculagbe.com/wp-includes/css/dist/block-library/style.min.css?ver=5.8	C:/My%20Web%20Sites/kichukinbo/kiculagbe.com/wp-includes/css/dist/block-library/style.min41a3.css	(from https://kiculagbe.com/)
21:49:06	3276/3276	---M-Z	200	added ('OK')	text/css	date:Wed,%2014%20Jul%202021%2023:05:47%20GMT	https://kiculagbe.com/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/vendors-style.css?ver=4.7.2	C:/My%20Web%20Sites/kichukinbo/kiculagbe.com/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/vendors-stylee100.css	(from https://kiculagbe.com/)
21:49:07	173/173	---M--	200	added ('OK')	text/css	date:Wed,%2016%20Dec%202020%2018:24:52%20GMT	https://kiculagbe.com/wp-content/plugins/bkash/css/style.css?ver=5.8	C:/My%20Web%20Sites/kichukinbo/kiculagbe.com/wp-content/plugins/bkash/css/style41a3.css	(from https://kiculagbe.com/)
21:49:07	3343/3343	---M-Z	200	added ('OK')	text/css	date:Sat,%2016%20Jan%202021%2011:31:40%20GMT	https://kiculagbe.com/wp-content/plugins/menu-image/includes/css/menu-image.css?ver=3.0.4	C:/My%20Web%20Sites/kichukinbo/kiculagbe.com/wp-content/plugins/menu-image/includes/css/menu-image459e.css	(from https://kiculagbe.com/)
21:49:07	170853/170853	---M-Z	200	added ('OK')	text/css	date:Wed,%2014%20Jul%202021%2023:05:46%20GMT	https://kiculagbe.com/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/style.css?ver=4.7.2	C:/My%20Web%20Sites/kichukinbo/kiculagbe.com/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/stylee100.css	(from https://kiculagbe.com/)
21:49:08	6109/6109	---M-Z	200	added ('OK')	text/css	date:Wed,%2017%20Mar%202021%2017:32:33%20GMT	https://kiculagbe.com/wp-content/plugins/perfect-woocommerce-brands/assets/css/styles-frontend.min.css?ver=1.8.7	C:/My%20Web%20Sites/kichukinbo/kiculagbe.com/wp-content/plugins/perfect-woocommerce-brands/assets/css/styles-frontend.min2e49.css	(from https://kiculagbe.com/)
21:49:09	59016/59016	---M-Z	200	added ('OK')	text/css	date:Thu,%2015%20Apr%202021%2011:05:42%20GMT	https://kiculagbe.com/wp-includes/css/dashicons.min.css?ver=5.8	C:/My%20Web%20Sites/kichukinbo/kiculagbe.com/wp-includes/css/dashicons.min41a3.css	(from https://kiculagbe.com/)
21:49:09	17925/17925	---M-Z	200	added ('OK')	text/css	date:Wed,%2014%20Jul%202021%2023:05:50%20GMT	https://kiculagbe.com/wp-content/plugins/woocommerce/assets/css/woocommerce-layout.css?ver=5.2.3	C:/My%20Web%20Sites/kichukinbo/kiculagbe.com/wp-content/plugins/woocommerce/assets/css/woocommerce-layout2513.css	(from https://kiculagbe.com/)
21:49:09	7043/7043	---M-Z	200	added ('OK')	text/css	date:Wed,%2014%20Jul%202021%2023:05:50%20GMT	https://kiculagbe.com/wp-content/plugins/woocommerce/assets/css/woocommerce-smallscreen.css?ver=5.2.3	C:/My%20Web%20Sites/kichukinbo/kiculagbe.com/wp-content/plugins/woocommerce/assets/css/woocommerce-smallscreen2513.css	(from https://kiculagbe.com/)
21:49:10	62803/62803	---M-Z	200	added ('OK')	text/css	date:Wed,%2014%20Jul%202021%2023:05:50%20GMT	https://kiculagbe.com/wp-content/plugins/woocommerce/assets/css/woocommerce.css?ver=5.2.3	C:/My%20Web%20Sites/kichukinbo/kiculagbe.com/wp-content/plugins/woocommerce/assets/css/woocommerce2513.css	(from https://kiculagbe.com/)
21:49:10	89/89	---M--	200	added ('OK')	text/css	date:Mon,%2003%20May%202021%2008:30:31%20GMT	https://kiculagbe.com/wp-content/plugins/woo-discount-rules/v2/Assets/Css/customize-table.css?ver=2.3.7	C:/My%20Web%20Sites/kichukinbo/kiculagbe.com/wp-content/plugins/woo-discount-rules/v2/Assets/Css/customize-tablec0b8.css	(from https://kiculagbe.com/)
21:49:10	611/611	---M-Z	200	added ('OK')	text/css	date:Thu,%2029%20Apr%202021%2018:43:00%20GMT	https://kiculagbe.com/wp-content/plugins/yith-woocommerce-brands-add-on/assets/css/yith-wcbr.css?ver=5.8	C:/My%20Web%20Sites/kichukinbo/kiculagbe.com/wp-content/plugins/yith-woocommerce-brands-add-on/assets/css/yith-wcbr41a3.css	(from https://kiculagbe.com/)
21:49:11	27204/27204	---M-Z	200	added ('OK')	text/css	date:Thu,%2029%20Apr%202021%2018:42:41%20GMT	https://kiculagbe.com/wp-content/plugins/ajax-search-for-woocommerce/assets/css/style.min.css?ver=1.10.0	C:/My%20Web%20Sites/kichukinbo/kiculagbe.com/wp-content/plugins/ajax-search-for-woocommerce/assets/css/style.minfc6b.css	(from https://kiculagbe.com/)
21:49:12	15057/15057	---M-Z	200	added ('OK')	text/css	date:Wed,%2014%20Jul%202021%2023:05:50%20GMT	https://kiculagbe.com/wp-content/plugins/woocommerce/assets/css/select2.css?ver=5.2.3	C:/My%20Web%20Sites/kichukinbo/kiculagbe.com/wp-content/plugins/woocommerce/assets/css/select22513.css	(from https://kiculagbe.com/)
21:49:13	6399/6399	---M-Z	200	added ('OK')	text/css	date:Mon,%2023%20Nov%202020%2015:20:40%20GMT	https://kiculagbe.com/wp-content/plugins/mobile-login-woocommerce/assets/css/xoo-ml-style.css?ver=2.0	C:/My%20Web%20Sites/kichukinbo/kiculagbe.com/wp-content/plugins/mobile-login-woocommerce/assets/css/xoo-ml-styled5f7.css	(from https://kiculagbe.com/)
21:49:14	10597/10597	---M-Z	200	added ('OK')	text/css	date:Sun,%2026%20Jul%202020%2014:10:28%20GMT	https://kiculagbe.com/wp-content/plugins/woo-social-login/includes/css/style-public.css?ver=2.3.3	C:/My%20Web%20Sites/kichukinbo/kiculagbe.com/wp-content/plugins/woo-social-login/includes/css/style-publicb6db.css	(from https://kiculagbe.com/)
21:49:17	1668/1668	---M-Z	200	added ('OK')	application/rss+xml	etag:%221562d56edc7be257639b74050b55d383%22	https://kiculagbe.com/comments/feed/	C:/My%20Web%20Sites/kichukinbo/kiculagbe.com/comments/feed/index.html	(from https://kiculagbe.com/)
21:49:17	140936/140936	---M-Z	200	added ('OK')	text/css	date:Mon,%2023%20Jul%202018%2016:37:28%20GMT	https://kiculagbe.com/wp-content/themes/bshop/assets/bootstrap/bootstrap.min.css?ver=4.1.3	C:/My%20Web%20Sites/kichukinbo/kiculagbe.com/wp-content/themes/bshop/assets/bootstrap/bootstrap.mina352.css	(from https://kiculagbe.com/)
21:49:18	3253/3253	---M-Z	200	added ('OK')	application/rss+xml	etag:%22d6d1c88a49bf115b2d31d4cd99884b12%22	https://kiculagbe.com/feed/	C:/My%20Web%20Sites/kichukinbo/kiculagbe.com/feed/index.html	(from https://kiculagbe.com/)
21:49:23	0/0	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2011%20Aug%202021%2015:49:22%20GMT	https://kiculagbe.com/wp-content/themes/bshop/assets/css/animate.css?ver=4.4.0	C:/My%20Web%20Sites/kichukinbo/kiculagbe.com/wp-content/themes/bshop/assets/css/animate474a.css	(from https://kiculagbe.com/)
